"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG000000029194",81403.3603642196,-0.303871985268451,0.0447117765704275,-6.79624046675508,1.07384485547902e-11,2.80554352384625e-11
"ENSG00000002933",3434256.37406784,-0.286163176300233,0.0954003581805652,-2.99960274529169,0.00270331930748494,0.00419948589338174
"ENSG00000003056",230044.171830011,-0.131664303860251,0.0486002810002886,-2.70912639084267,0.00674606353848926,0.0100962312366878
"ENSG000000030963",19389.8933671269,-1.24111444811337,0.121151633742099,-10.2443063273533,1.25522019009664e-24,5.40711832218713e-24
"ENSG00000003137",11511.7710357696,-0.394263805539581,0.203185346036436,-1.94041456842503,0.0523293274965777,0.0705331868833534
"ENSG000000031477",60026.6902788972,-0.533759591050318,0.129905849438825,-4.10881875878634,3.97688015754815e-05,7.12730678576061e-05
"ENSG000000032493",117693.859160484,-2.21739994275652,0.131699708715036,-16.8367869936174,1.31167919049649e-63,1.85019913102355e-62
"ENSG000000033934",140695.069026967,0.446402384411808,0.0497190908335609,8.9784904938463,2.74506843695762e-19,9.85357784349089e-19
"ENSG000000034004",58218.1620512151,0.24855171425572,0.0501323071954798,4.95791492872148,7.12537488647912e-07,1.43482293953811e-06
"ENSG000000034029",427851.880915825,0.848302513929893,0.0372420617282253,22.7780760399464,7.56402632330897e-115,4.49921410504951e-113
"ENSG000000034364",1114317.17199445,-0.544819883290807,0.0998788348072941,-5.45480816172896,4.90257443857083e-08,1.05865538208111e-07
"ENSG000000035095",59014.090569837,0.442478718889304,0.0367251988156676,12.0483682364855,1.97827429223046e-33,1.143554030075e-32
"ENSG000000037566",292486.235344231,1.33449729566395,0.0396203790764955,33.6820930735524,1.05735334807441e-248,3.99235170686706e-246
"ENSG000000039873",18251.0567628429,-0.449977282877858,0.151486781047219,-2.97040626097665,0.0029740615449626,0.00460168817145211
"ENSG000000039896",1254957.1699031,1.0752052231138,0.133438765440864,8.05766764674017,7.77639028497157e-16,2.44388776953395e-15
"ENSG000000040590",469230.191714535,-0.565056449340219,0.0511386719097924,-11.049494017697,2.20453875935487e-28,1.08021155346008e-27
"ENSG000000041393",253780.863862911,0.322026238529959,0.0658163506500331,4.89279997066804,9.94114310048985e-07,1.98510463092712e-06
"ENSG000000041421",910889.060239342,-0.29800734324935,0.0452597837899401,-6.5843739915432,4.56805952207383e-11,1.15444422086128e-10
"ENSG000000043992",302332.589694223,-0.75458465135118,0.0756464223859613,-9.97515318703582,1.95799079119082e-23,8.10994182557938e-23
"ENSG000000044556",440256.744794635,0.176328690989411,0.0487977603915343,3.61345868282926,0.000302139520067009,0.000508799748969412
"ENSG000000044682",26225.2118990282,0.729716661754869,0.15980955365317,4.56616419402904,4.96729744856647e-06,9.47872265637606e-06
"ENSG00000004478",547164.105741302,-0.111769440415641,0.071416457694887,-1.56503758409797,0.117574097016338,0.150435023552041
"ENSG000000044875",159169.490058236,-0.0112808087632593,0.0458528986634051,-0.246021714920772,0.805665422944639,0.850865509910279
"ENSG000000045344",309791.542171779,1.8505547230445,0.0476102952442251,38.8687932631329,0,0
"ENSG000000046604",8094.40989392177,0.177139733710012,0.100131726277421,1.76906701098147,0.0768826923619033,0.101197981774979
"ENSG000000047005",105059.537618555,-0.358505231728956,0.047284264725675,-7.58191406398861,3.4049379181632e-14,9.93602683489088e-14
"ENSG000000047665",55389.5005860822,-0.129300763304089,0.0446337552862521,-2.89692772823701,0.00376836555910746,0.00577479136000392
"ENSG000000047761",93998.153798417,0.759083258255322,0.145523529107533,5.21622354069223,1.82607784062159e-07,3.8108623823866e-07
"ENSG000000047778",30079.0152222651,1.08581381724732,0.0910431813982479,11.9263606628339,8.62629652577678e-33,4.88886019982733e-32
"ENSG00000004779",244457.227607578,-0.416630904099802,0.0614009709368369,-6.78541231096149,1.15755442501487e-11,3.01637981945513e-11
"ENSG00000004799",752384.21778412,-0.366270793775964,0.154700009483939,-2.36761972412155,0.0179029265784304,0.0255673379459435
